country,year,gdp_pc_usd
DEU,2012,3597896500945.31
DEU,2013,3808086291482.36
DEU,2014,3965800686309.79
DEU,2015,3423568450957.03
DEU,2016,3537784107980.55
DEU,2017,3763092263752.95
DEU,2018,4052008447223.53
DEU,2019,3957208055215.68
DEU,2020,3940142541354.1
DEU,2021,4348297440387.53
DJI,2011,1239144501.77525
DJI,2012,1353632941.5207
DJI,2013,2042817162.85639
DJI,2014,2214679081.25658
DJI,2015,2424391785.43897
DJI,2016,2604955228.70117
DJI,2017,2762581334.22612
DJI,2018,2913466732.12507
DJI,2019,3088853638.56832
DJI,2020,3185150981.03207
DJI,2021,3385825228.86997
DMA,2011,501025925.925926
DMA,2012,485996296.296296
DMA,2013,498296296.296296
DMA,2014,520429629.62963
DMA,2015,540737037.037037
DMA,2016,576229629.62963
DMA,2017,521551851.851852
DMA,2018,554770370.37037
DMA,2019,611537037.037037
DMA,2020,504214814.814815
DMA,2021,555266666.666667
DNK,2011,344315595263.175
DNK,2012,326792574244.963
DNK,2013,344631016965.12
DNK,2014,352832602064.452
DNK,2015,301758922337.637
DNK,2016,312181849372.233
DNK,2017,331610593961.988
DNK,2018,355293374912.393
DNK,2019,345401473012.615
DNK,2020,355631021931.621
DNK,2021,408378204639.999
DOM,2011,58029773599.455
DOM,2012,60681535652.5373
DOM,2013,62682159338.0354
DOM,2014,67179955677.2791
DOM,2015,71164826836.5281
DOM,2016,75704647877.6559
DOM,2017,79998046305.79
DOM,2018,85555390139.118
DOM,2019,88941372558.2397
DOM,2020,78844656298.1776
DOM,2021,94243425938.3647
DZA,2011,218331946925.304
DZA,2012,227143746075.934
DZA,2013,229701430292.157
DZA,2014,238942664192.59
DZA,2015,187493855609.345
DZA,2016,180763839522.151
DZA,2017,189880896903.073
DZA,2018,194554483655.528
DZA,2019,193459662090.677
DZA,2020,164873415325.201
DZA,2021,186231205262.082
ECU,2011,78986648000.0
ECU,2012,87735048000.0
ECU,2013,96570334000.0
ECU,2014,102717794000.0
ECU,2015,97209558000.0
ECU,2016,97671433000.0
ECU,2017,104467486000.0
ECU,2018,107478962000.0
ECU,2019,107595829000.0
ECU,2020,95865472000.0
ECU,2021,107435101000.0
EGY,2011,235989672977.625
EGY,2012,279116666666.667
EGY,2013,288434108527.132
EGY,2014,305595408895.265
EGY,2015,329366576819.407
EGY,2016,332441717791.411
EGY,2017,248362771739.13
EGY,2018,262588632526.73
EGY,2019,318678815489.749
EGY,2020,383817841547.099
EGY,2021,424671765455.704
ERI,2011,2065001626.01626
ERI,2012,
ERI,2013,
ERI,2014,
ERI,2015,
ERI,2016,
ERI,2017,
ERI,2018,
ERI,2019,
ERI,2020,
ERI,2021,
ESP,2011,1487568659241.25
ESP,2012,1330994811670.31
ESP,2013,1362186923157.65
ESP,2014,1380244561361.96
ESP,2015,1206164777553.12
ESP,2016,1243015667917.12
ESP,2017,1321754088818.83
ESP,2018,1431642809327.06
ESP,2019,1403496387686.27
ESP,2020,1289783836971.21
ESP,2021,1461244901852.69
EST,2011,23303915794.7569
EST,2012,23237406116.3988
EST,2013,25451032780.7573
EST,2014,27055689003.0038
EST,2015,23311847750.9394
EST,2016,24561027787.7896
EST,2017,27469461919.1189
EST,2018,31222632740.7247
EST,2019,31873748770.0313
EST,2020,31820771493.8974
EST,2021,37204563051.4723
ETH,2011,31952763089.33
ETH,2012,43310721414.0829
ETH,2013,47648276605.0123
ETH,2014,55612228233.5179
ETH,2015,64589328550.5953
ETH,2016,74296745207.8721
ETH,2017,81770886825.6048
ETH,2018,84269196625.8784
ETH,2019,95912607722.3032
ETH,2020,107657734392.446
ETH,2021,111261882958.426
FIN,2011,275126915515.565
FIN,2012,257443384492.969
FIN,2013,270268036626.275
FIN,2014,273478528954.901
FIN,2015,233210733506.25
FIN,2016,238777818792.608
FIN,2017,253846138440.0
FIN,2018,273869255596.078
FIN,2019,267014821129.411
FIN,2020,270000311606.226
FIN,2021,294223210496.119
FJI,2011,3779411899.37483
FJI,2012,3972028104.47328
FJI,2013,4189967998.51424
FJI,2014,4857104791.41609
FJI,2015,4682479912.05203
FJI,2016,4930213634.35692
FJI,2017,5353469171.0611
FJI,2018,5581425324.91185
FJI,2019,5444407214.31758
FJI,2020,4432466237.09588
FJI,2021,4305031630.81808
FRA,2011,2870408553990.28
FRA,2012,2683007095787.23
FRA,2013,2816077607875.26
FRA,2014,2861236112552.42
FRA,2015,2442483452642.5
FRA,2016,2470407619777.13
FRA,2017,2588868323334.71
FRA,2018,2781576320884.39
FRA,2019,2722793515171.76
FRA,2020,2647926055110.05
FRA,2021,2966433692008.09
FRO,2011,2505740669.27039
FRO,2012,2427200388.91831
FRO,2013,2690110520.92548
FRO,2014,2914012679.27277
FRO,2015,2573905971.05459
FRO,2016,2813278868.78208
FRO,2017,2980057377.87967
FRO,2018,3188600927.46688
FRO,2019,3266432734.22819
FRO,2020,3271813311.5831
FRO,2021,3664686796.62669
FSM,2011,311301600.0
FSM,2012,327248700.0
FSM,2013,317214400.0
FSM,2014,319271200.0
FSM,2015,316489900.0
FSM,2016,325000000.0
FSM,2017,359000000.0
FSM,2018,392000000.0
FSM,2019,394000000.0
FSM,2020,372000000.0
FSM,2021,390000000.0
GAB,2011,18210307743.5816
GAB,2012,17170464016.0593
GAB,2013,17595744798.3398
GAB,2014,18203966895.8433
GAB,2015,14383107762.6952
GAB,2016,14023890265.3665
GAB,2017,14929487485.1623
GAB,2018,16867326401.9626
GAB,2019,16874405465.391
GAB,2020,15342236163.9864
GAB,2021,19444935097.2395
GBR,2011,2663805834828.07
GBR,2012,2707089726614.64
