country,year,resource_rents_pct_gdp
KAZ,2014,12427.7094576939
KAZ,2015,10196.1226255982
KAZ,2016,7475.56688689424
KAZ,2017,8943.08416791984
KAZ,2018,9472.48527327758
KAZ,2019,9457.12614657136
KAZ,2020,8781.50797787648
KAZ,2021,9983.60103576902
KEN,2011,1096.14499807675
KEN,2012,1285.00536171512
KEN,2013,1370.87885214659
KEN,2014,1482.81566253497
KEN,2015,1489.11959777284
KEN,2016,1554.12610314423
KEN,2017,1667.48447230835
KEN,2018,1836.45275528993
KEN,2019,1960.40808854893
KEN,2020,1927.66459027849
KEN,2021,2061.35622089594
KGZ,2011,1117.40184423062
KGZ,2012,1168.62244675446
KGZ,2013,1269.66303464348
KGZ,2014,1264.52679529608
KGZ,2015,1105.65202996955
KGZ,2016,1103.27498361324
KGZ,2017,1221.39056490366
KGZ,2018,1283.52040333083
KGZ,2019,1421.99927504102
KGZ,2020,1229.51775742135
KGZ,2021,1349.99730650542
KHM,2011,1088.98152823081
KHM,2012,1192.80263041673
KHM,2013,1305.6600972686
KHM,2014,1431.56396469993
KHM,2015,1547.32010444393
KHM,2016,1675.19555711109
KHM,2017,1826.35391688754
KHM,2018,2036.67377566578
KHM,2019,2225.87705485686
KHM,2020,2081.73914242939
KHM,2021,2167.40324198499
KIR,2011,1771.12894481248
KIR,2012,1843.55346948038
KIR,2013,1772.08706898092
KIR,2014,1736.7053011433
KIR,2015,1639.85274301496
KIR,2016,1742.66812442095
KIR,2017,1853.0511299437
KIR,2018,1912.73798131035
KIR,2019,1750.99750920482
KIR,2020,1769.43211760217
KIR,2021,2253.82500103057
KNA,2011,17832.4572919975
KNA,2012,17532.0559008608
KNA,2013,18580.1301949935
KNA,2014,20219.3954237956
KNA,2015,20328.8003530109
KNA,2016,21387.5415511103
KNA,2017,22464.9899633959
KNA,2018,22901.3816403197
KNA,2019,23595.4923231291
KNA,2020,18859.0190361046
KNA,2021,18361.1449697886
KOR,2011,25097.595426845
KOR,2012,25459.1689000965
KOR,2013,27179.5170146052
KOR,2014,29252.9312377352
KOR,2015,28737.4391706499
KOR,2016,29280.4403170048
KOR,2017,31600.7358741365
KOR,2018,33447.1562836166
KOR,2019,31902.4169048194
KOR,2020,31721.2989141857
KOR,2021,35125.5224984723
KWT,2011,49169.6063983139
KWT,2012,52155.2225460479
KWT,2013,49651.0439709448
KWT,2014,44368.781373043
KWT,2015,29882.2126867068
KWT,2016,27323.6890643847
KWT,2017,29047.6535822842
KWT,2018,32067.9623689512
KWT,2019,31707.8737464917
KWT,2020,25236.0755520534
KWT,2021,34043.542153557
LAO,2011,1361.54704394913
LAO,2012,1563.5650771337
LAO,2013,1812.51774424651
LAO,2014,1981.03910900473
LAO,2015,2121.01339097363
LAO,2016,2303.22156035363
LAO,2017,2432.43059478511
LAO,2018,2545.1075420815
LAO,2019,2589.32081035237
LAO,2020,2583.77730696131
LAO,2021,2526.05105018529
LBN,2011,7834.96257108993
LBN,2012,8406.98405608118
LBN,2013,8162.37929361396
LBN,2014,7577.6413302369
LBN,2015,7714.1099998804
LBN,2016,8089.012088155
LBN,2017,8608.21084982387
LBN,2018,9174.53666204759
LBN,2019,8905.88005497437
LBN,2020,5561.19166950397
LBN,2021,4045.37391066234
LBR,2011,568.087865520004
LBR,2012,638.368751462083
LBR,2013,710.744570927863
LBR,2014,706.714490064507
LBR,2015,692.590082351257
LBR,2016,714.613063145659
LBR,2017,699.269095727404
LBR,2018,692.203127129794
LBR,2019,658.164180770507
LBR,2020,616.787867006715
LBR,2021,667.96610514319
LBY,2011,7593.8391525702
LBY,2012,14975.8902795144
LBY,2013,11951.7134126011
LBY,2014,8926.42074591474
LBY,2015,7458.48917756374
LBY,2016,7525.80299308216
LBY,2017,9965.83236729757
LBY,2018,11196.5854810844
LBY,2019,9963.19489084483
LBY,2020,6650.33810585348
LBY,2021,4935.82787349801
LCA,2011,9128.99442011613
LCA,2012,9260.30006551714
LCA,2013,9576.23463377087
LCA,2014,10044.8218377677
LCA,2015,10334.9225558425
LCA,2016,10638.1901982143
LCA,2017,11333.1963940441
LCA,2018,11642.7403185172
LCA,2019,11794.2056521711
LCA,2020,8411.19941821204
LCA,2021,10459.1321248092
LIE,2011,158066.369379163
LIE,2012,148842.035144342
LIE,2013,172823.607794648
LIE,2014,178735.153020908
LIE,2015,167187.15730982
LIE,2016,165375.491396259
LIE,2017,170547.092298954
LIE,2018,174988.775083446
LIE,2019,166907.839305016
LIE,2020,164671.093553454
LIE,2021,196783.729414593
LKA,2011,3224.95736331928
LKA,2012,3327.77612404326
LKA,2013,3740.61589348326
LKA,2014,3971.91913148166
LKA,2015,4060.13139670248
LKA,2016,4149.76105454457
LKA,2017,4401.05567045499
LKA,2018,4360.58473469252
LKA,2019,4082.69404871533
LKA,2020,3846.17449566736
LKA,2021,3999.33764677637
LSO,2011,1280.73390931581
LSO,2012,1217.93071228944
LSO,2013,1151.03735837227
LSO,2014,1173.5377928819
LSO,2015,1121.19851342518
LSO,2016,992.491840678465
LSO,2017,1069.36673247542
LSO,2018,1170.65569702819
LSO,2019,1082.05706777516
LSO,2020,918.582577421982
LSO,2021,1066.58645143823
LTU,2011,14261.8433787325
LTU,2012,14294.7178607152
LTU,2013,15655.3513307327
LTU,2014,16473.5678231709
LTU,2015,14300.2553666736
LTU,2016,14981.6208126311
LTU,2017,16884.7100319318
LTU,2018,19368.5391045353
LTU,2019,19727.7607453736
LTU,2020,20541.824988603
LTU,2021,23934.728489916
LUX,2011,119025.057203467
LUX,2012,112584.676270958
LUX,2013,120000.140729859
LUX,2014,123678.702143275
LUX,2015,105462.012584423
LUX,2016,106899.293549552
LUX,2017,110193.213797228
LUX,2018,116786.511654677
LUX,2019,112726.439672814
LUX,2020,116905.370396853
LUX,2021,133711.794435985
LVA,2011,12902.574053337
LVA,2012,13329.3499931271
LVA,2013,14484.4715282132
LVA,2014,15185.814581236
LVA,2015,13321.9753140616
LVA,2016,13838.5266823272
LVA,2017,15132.4958333982
LVA,2018,17252.1710428626
LVA,2019,17294.9751600969
LVA,2020,17564.2321549354
LVA,2021,20262.8433862451
MAC,2011,67041.2823092952
MAC,2012,76051.6312325843
MAC,2013,87069.767003344
MAC,2014,88310.8119567344
MAC,2015,70070.2918001631
MAC,2016,69074.0363049212
MAC,2017,77704.9215312666
MAC,2018,83761.8171798142
MAC,2019,81967.699172769
MAC,2020,36976.2561071429
MAC,2021,45376.314586156
MAF,2011,20930.5821177758
MAF,2012,
MAF,2013,
