country,year,tertiary_enrolment_pct
KAZ,2013,53.467830657959
KAZ,2014,51.7116203308105
KAZ,2015,49.0316352844238
KAZ,2016,46.8150215148926
KAZ,2017,51.0654792785645
KAZ,2018,53.5158615112305
KAZ,2019,59.5819778442383
KAZ,2020,64.8498611450195
KAZ,2021,61.2268028259277
KEN,2011,
KEN,2012,
KEN,2013,
KEN,2014,
KEN,2015,9.3003101348877
KEN,2016,11.7006797790527
KEN,2017,11.8862104415894
KEN,2018,
KEN,2019,10.5694704055786
KEN,2020,
KEN,2021,
KGZ,2011,40.948169708252
KGZ,2012,43.0413208007812
KGZ,2013,46.1422462463379
KGZ,2014,44.0620918273926
KGZ,2015,44.671688079834
KGZ,2016,43.4013214111328
KGZ,2017,41.2773246765137
KGZ,2018,39.9152526855469
KGZ,2019,41.5565948486328
KGZ,2020,45.9235610961914
KGZ,2021,52.5253791809082
KHM,2011,14.1404304504395
KHM,2012,
KHM,2013,
KHM,2014,
KHM,2015,14.645770072937
KHM,2016,
KHM,2017,15.0735502243042
KHM,2018,15.7133102416992
KHM,2019,16.8353996276855
KHM,2020,14.4409313201904
KHM,2021,13.8764019012451
KIR,2011,
KIR,2012,
KIR,2013,
KIR,2014,
KIR,2015,
KIR,2016,
KIR,2017,
KIR,2018,
KIR,2019,
KIR,2020,
KIR,2021,
KNA,2011,
KNA,2012,
KNA,2013,
KNA,2014,89.6923522949219
KNA,2015,92.1944808959961
KNA,2016,
KNA,2017,
KNA,2018,
KNA,2019,
KNA,2020,
KNA,2021,
KOR,2011,100.819679260254
KOR,2012,98.286979675293
KOR,2013,96.3375015258789
KOR,2014,94.4421691894531
KOR,2015,93.9676513671875
KOR,2016,93.6577224731445
KOR,2017,93.7230224609375
KOR,2018,93.3281784057617
KOR,2019,93.9989166259766
KOR,2020,96.8767700195312
KOR,2021,100.317680358887
KWT,2011,
KWT,2012,
KWT,2013,
KWT,2014,54.0167083740234
KWT,2015,58.7037200927734
KWT,2016,57.7827606201172
KWT,2017,55.13330078125
KWT,2018,52.1134605407715
KWT,2019,50.4700584411621
KWT,2020,53.7298583984375
KWT,2021,61.558048248291
LAO,2011,17.6739711761475
LAO,2012,17.5077114105225
LAO,2013,19.0965957641602
LAO,2014,18.611400604248
LAO,2015,18.1812057495117
LAO,2016,17.1157512664795
LAO,2017,15.4383745193481
LAO,2018,14.5235404968262
LAO,2019,13.7658739089966
LAO,2020,12.5843343734741
LAO,2021,12.4585027694702
LBN,2011,45.5640182495117
LBN,2012,44.8252983093262
LBN,2013,48.067008972168
LBN,2014,42.533031463623
LBN,2015,38.8207511901855
LBN,2016,42.1090087890625
LBN,2017,43.9945793151855
LBN,2018,47.2751083374023
LBN,2019,50.3490180969238
LBN,2020,51.6985816955566
LBN,2021,58.4441413879395
LBR,2011,
LBR,2012,11.2590703964233
LBR,2013,
LBR,2014,
LBR,2015,
LBR,2016,
LBR,2017,
LBR,2018,
LBR,2019,
LBR,2020,
LBR,2021,
LBY,2011,
LBY,2012,
LBY,2013,
LBY,2014,
LBY,2015,
LBY,2016,
LBY,2017,
LBY,2018,
LBY,2019,
LBY,2020,
LBY,2021,
LCA,2011,16.3322505950928
LCA,2012,10.2659502029419
LCA,2013,13.9913196563721
LCA,2014,17.0471706390381
LCA,2015,17.0072593688965
LCA,2016,19.8053798675537
LCA,2017,20.7909393310547
LCA,2018,14.6977701187134
LCA,2019,16.0102691650391
LCA,2020,16.9041500091553
LCA,2021,
LIE,2011,43.6750984191895
LIE,2012,42.4966812133789
LIE,2013,
LIE,2014,37.4887084960938
LIE,2015,33.5420417785645
LIE,2016,35.0226211547852
LIE,2017,35.6219291687012
LIE,2018,38.3002700805664
LIE,2019,41.1658401489258
LIE,2020,42.5986099243164
LIE,2021,46.0189590454102
LKA,2011,14.821494102478
LKA,2012,16.4015369415283
LKA,2013,17.9866104125977
LKA,2014,18.173412322998
LKA,2015,18.6914081573486
LKA,2016,17.8068389892578
LKA,2017,17.947998046875
LKA,2018,18.6717472076416
LKA,2019,20.2191257476807
LKA,2020,20.8122158050537
LKA,2021,21.3629665374756
LSO,2011,
LSO,2012,11.0302000045776
LSO,2013,10.563850402832
LSO,2014,10.4520902633667
LSO,2015,9.68772983551025
LSO,2016,
LSO,2017,10.1464996337891
LSO,2018,9.7244701385498
LSO,2019,
LSO,2020,
LSO,2021,
LTU,2011,84.0555877685547
LTU,2012,79.7516326904297
LTU,2013,73.533203125
LTU,2014,68.8998870849609
LTU,2015,67.7426528930664
LTU,2016,67.7418518066406
LTU,2017,68.3863372802734
LTU,2018,69.7188034057617
LTU,2019,70.1848678588867
LTU,2020,69.1454772949219
LTU,2021,70.6638793945312
LUX,2011,
LUX,2012,19.117790222168
LUX,2013,
LUX,2014,
LUX,2015,20.2907104492188
LUX,2016,19.9203605651855
LUX,2017,19.5990200042725
LUX,2018,19.3915195465088
LUX,2019,19.3969497680664
LUX,2020,19.961389541626
LUX,2021,20.7341499328613
LVA,2011,67.9534683227539
LVA,2012,66.6435470581055
LVA,2013,69.0765991210938
LVA,2014,70.8979415893555
LVA,2015,74.2998809814453
LVA,2016,80.6048126220703
LVA,2017,88.0574264526367
LVA,2018,93.0244827270508
LVA,2019,94.8645324707031
LVA,2020,94.5108337402344
LVA,2021,93.4839324951172
MAC,2011,70.3462066650391
MAC,2012,53.9347381591797
MAC,2013,61.8619194030762
MAC,2014,69.2981185913086
MAC,2015,76.1658401489258
MAC,2016,79.9250030517578
MAC,2017,81.265510559082
MAC,2018,76.7935028076172
MAC,2019,80.0911178588867
MAC,2020,86.7956695556641
MAC,2021,98.9696197509766
MAF,2011,
MAF,2012,
MAF,2013,
MAF,2014,
MAF,2015,
MAF,2016,
MAF,2017,
MAF,2018,
MAF,2019,
MAF,2020,
MAF,2021,
MAR,2011,15.9613800048828
MAR,2012,19.1758098602295
MAR,2013,22.5497703552246
MAR,2014,25.4523506164551
MAR,2015,28.6955890655518
MAR,2016,32.2695808410645
MAR,2017,33.7370109558105
MAR,2018,35.6224212646484
MAR,2019,38.0248603820801
MAR,2020,40.02001953125
MAR,2021,42.8228912353516
MCO,2011,
MCO,2012,
MCO,2013,
MCO,2014,
MCO,2015,
MCO,2016,53.3591690063477
MCO,2017,
MCO,2018,
MCO,2019,
MCO,2020,
MCO,2021,
MDA,2011,
MDA,2012,
MDA,2013,
MDA,2014,52.1503486633301
MDA,2015,52.0978202819824
MDA,2016,52.8414115905762
MDA,2017,51.947338104248
MDA,2018,52.8423118591309
MDA,2019,54.7812004089355
MDA,2020,56.2498207092285
MDA,2021,61.3014030456543
MDG,2011,4.00945997238159
MDG,2012,4.07020998001099
MDG,2013,4.21469020843506
MDG,2014,4.73074007034302
MDG,2015,4.72751998901367
MDG,2016,4.76165008544922
MDG,2017,5.23624992370605
MDG,2018,5.32438993453979
MDG,2019,5.53402996063232
MDG,2020,5.67685985565186
MDG,2021,
MDV,2011,
MDV,2012,
MDV,2013,
MDV,2014,13.65797996521
MDV,2015,
MDV,2016,
MDV,2017,34.778018951416
MDV,2018,
MDV,2019,51.3613624572754
MDV,2020,28.3089008331299
MDV,2021,24.8425178527832
MEX,2011,28.0361595153809
MEX,2012,29.3496494293213
MEX,2013,30.3301601409912
MEX,2014,31.2052898406982
MEX,2015,31.9718608856201
MEX,2016,38.589771270752
MEX,2017,40.3390693664551
MEX,2018,41.6382789611816
MEX,2019,43.0441398620605
MEX,2020,45.1654510498047
MEX,2021,45.6506195068359
MHL,2011,
MHL,2012,28.9444999694824
MHL,2013,
MHL,2014,
MHL,2015,
MHL,2016,
MHL,2017,
MHL,2018,
MHL,2019,41.4746513366699
MHL,2020,
MHL,2021,
MKD,2011,
MKD,2012,39.7961082458496
MKD,2013,38.9499015808105
MKD,2014,39.3214912414551
MKD,2015,42.0811805725098
MKD,2016,
MKD,2017,43.5097694396973
MKD,2018,43.8547897338867
MKD,2019,43.1991004943848
MKD,2020,43.782169342041
MKD,2021,44.3020210266113
MLI,2011,5.12092018127441
MLI,2012,6.61513996124268
MLI,2013,6.12579011917114
MLI,2014,5.70353984832764
MLI,2015,5.28096008300781
MLI,2016,3.65079045295715
MLI,2017,4.16489362716675
MLI,2018,4.96651792526245
MLI,2019,4.73440647125244
MLI,2020,
MLI,2021,
MLT,2011,39.4486618041992
MLT,2012,42.5473289489746
MLT,2013,44.0389518737793
MLT,2014,44.4906997680664
MLT,2015,46.9468193054199
MLT,2016,48.1260795593262
MLT,2017,52.8446311950684
MLT,2018,56.8111114501953
MLT,2019,58.5368690490723
MLT,2020,62.8752517700195
MLT,2021,73.0226974487305
MMR,2011,14.2016801834106
MMR,2012,13.6632795333862
MMR,2013,
MMR,2014,
MMR,2015,
MMR,2016,
MMR,2017,
MMR,2018,20.3939208984375
MMR,2019,
MMR,2020,
MMR,2021,
MNE,2011,59.0115089416504
MNE,2012,60.3092498779297
MNE,2013,60.4347686767578
MNE,2014,63.2196388244629
MNE,2015,63.9372711181641
MNE,2016,59.1839218139648
MNE,2017,60.9102210998535
MNE,2018,58.1831512451172
MNE,2019,56.2633209228516
MNE,2020,58.0944709777832
MNE,2021,57.9613914489746
MNG,2011,56.7441596984863
MNG,2012,61.0462303161621
MNG,2013,64.6551666259766
MNG,2014,66.9319229125977
MNG,2015,71.4299926757812
MNG,2016,66.9766464233398
MNG,2017,65.412841796875
MNG,2018,65.6492462158203
MNG,2019,67.6281585693359
MNG,2020,64.5476303100586
MNG,2021,64.4591369628906
MNP,2011,
MNP,2012,
MNP,2013,
MNP,2014,
MNP,2015,
MNP,2016,
MNP,2017,
MNP,2018,
MNP,2019,
MNP,2020,
MNP,2021,
MOZ,2011,5.04203987121582
MOZ,2012,5.3305401802063
MOZ,2013,5.70935010910034
MOZ,2014,6.34957981109619
MOZ,2015,6.81003999710083
MOZ,2016,7.38789987564087
MOZ,2017,7.24044990539551
MOZ,2018,7.45408010482788
MOZ,2019,7.30147504806519
MOZ,2020,
MOZ,2021,
MRT,2011,5.01435995101929
MRT,2012,5.45682001113892
MRT,2013,5.78322982788086
MRT,2014,
MRT,2015,5.87037992477417
MRT,2016,5.5491099357605
MRT,2017,5.14321994781494
MRT,2018,5.11879014968872
MRT,2019,5.8698902130127
MRT,2020,5.95125007629395
MRT,2021,
MUS,2011,34.2265090942383
MUS,2012,40.3749504089355
MUS,2013,41.402400970459
MUS,2014,40.038200378418
MUS,2015,37.7607383728027
MUS,2016,38.4107704162598
MUS,2017,39.6618804931641
MUS,2018,40.4078102111816
MUS,2019,42.9878692626953
MUS,2020,42.537841796875
MUS,2021,43.9577217102051
MWI,2011,0.851849973201752
MWI,2012,
MWI,2013,
MWI,2014,
MWI,2015,
MWI,2016,
MWI,2017,
MWI,2018,
MWI,2019,
MWI,2020,
MWI,2021,
MYS,2011,35.6598587036133
MYS,2012,36.9332084655762
MYS,2013,38.2327194213867
MYS,2014,38.6768264770508
MYS,2015,44.8695030212402
MYS,2016,46.401668548584
MYS,2017,43.6680450439453
MYS,2018,45.2784156799316
MYS,2019,43.1977157592773
MYS,2020,42.4097671508789
MYS,2021,40.9142608642578
NAM,2011,
NAM,2012,
NAM,2013,
NAM,2014,18.7538394927979
NAM,2015,20.0199108123779
NAM,2016,22.0023994445801
NAM,2017,23.3570709228516
NAM,2018,24.9616394042969
NAM,2019,27.7483100891113
NAM,2020,28.3682403564453
NAM,2021,
NCL,2011,
NCL,2012,
NCL,2013,
NCL,2014,
NCL,2015,
NCL,2016,
NCL,2017,
NCL,2018,
NCL,2019,
NCL,2020,
NCL,2021,
NER,2011,1.33376002311707
NER,2012,1.52788996696472
NER,2013,2.23660826683044
NER,2014,2.66542100906372
NER,2015,3.43003010749817
NER,2016,3.65476989746094
NER,2017,3.89881992340088
NER,2018,4.61981010437012
NER,2019,4.43339014053345
NER,2020,4.59342241287231
NER,2021,
NGA,2011,10.1537199020386
NGA,2012,
NGA,2013,
NGA,2014,
NGA,2015,
NGA,2016,
NGA,2017,11.5785512924194
NGA,2018,11.8107748031616
NGA,2019,
NGA,2020,
NGA,2021,
NIC,2011,15.8641271591187
NIC,2012,16.4946403503418
NIC,2013,16.3554344177246
NIC,2014,17.1516933441162
NIC,2015,17.3416366577148
NIC,2016,17.7747993469238
NIC,2017,
NIC,2018,19.3088111877441
NIC,2019,17.767614364624
NIC,2020,18.6855163574219
NIC,2021,19.8995819091797
NLD,2011,75.518798828125
NLD,2012,75.8141632080078
NLD,2013,
NLD,2014,
NLD,2015,80.1601486206055
NLD,2016,79.8454895019531
NLD,2017,83.2009887695312
NLD,2018,83.652473449707
NLD,2019,
NLD,2020,85.3370819091797
NLD,2021,89.3898620605469
NOR,2011,71.0614166259766
NOR,2012,71.7047576904297
NOR,2013,75.8635787963867
NOR,2014,78.2397384643555
NOR,2015,79.206428527832
NOR,2016,82.0374526977539
NOR,2017,83.7353363037109
NOR,2018,85.3883514404297
NOR,2019,85.7633819580078
NOR,2020,87.1685333251953
NOR,2021,93.9243011474609
NPL,2011,13.4289903640747
NPL,2012,
NPL,2013,16.1476802825928
NPL,2014,15.4161396026611
NPL,2015,13.2059631347656
NPL,2016,11.9705371856689
NPL,2017,12.1109495162964
NPL,2018,13.006326675415
NPL,2019,13.9224119186401
NPL,2020,13.9312324523926
NPL,2021,14.3841028213501
NRU,2011,
