country,year,age1564_pct
MAF,2011,67.0340046130812
MAF,2012,66.6979651513729
MAF,2013,66.48449296471
MAF,2014,66.4690725090453
MAF,2015,66.4815756375605
MAF,2016,66.418291862811
MAF,2017,66.5137427892772
MAF,2018,66.0446517827391
MAF,2019,63.6525469481855
MAF,2020,62.4756181966904
MAF,2021,63.0469610493642
MAR,2011,65.7630625364839
MAR,2012,65.8772894808751
MAR,2013,65.991953076473
MAR,2014,66.0797555195502
MAR,2015,66.1307172558412
MAR,2016,66.1624198581765
MAR,2017,66.1569857377868
MAR,2018,66.1084881706797
MAR,2019,66.0482046040394
MAR,2020,66.0303401948732
MAR,2021,66.0542531523781
MCO,2011,58.2919680075415
MCO,2012,56.8955086283887
MCO,2013,55.6521003187858
MCO,2014,54.5795504871568
MCO,2015,53.6115569823435
MCO,2016,52.8047537289409
MCO,2017,52.1670470831785
MCO,2018,51.4670615523726
MCO,2019,51.1677031672308
MCO,2020,50.7404633316251
MCO,2021,49.8961767072443
MDA,2011,72.0969137534275
MDA,2012,72.1829774166136
MDA,2013,71.9494974312337
MDA,2014,71.1653482250474
MDA,2015,70.0589368131714
MDA,2016,68.983696924511
MDA,2017,68.0235384558779
MDA,2018,67.1972110865303
MDA,2019,66.4191106875943
MDA,2020,65.7164519859204
MDA,2021,65.1563102257656
MDG,2011,53.6783158068713
MDG,2012,54.0856517127504
MDG,2013,54.5107020051046
MDG,2014,54.9016796242728
MDG,2015,55.2402498908382
MDG,2016,55.5455025357901
MDG,2017,55.8156972159696
MDG,2018,56.0492179538872
MDG,2019,56.2569911629362
MDG,2020,56.4572904886486
MDG,2021,56.6577985720494
MDV,2011,70.7806804861992
MDV,2012,71.4625482785186
MDV,2013,71.972814791393
MDV,2014,72.3732341755779
MDV,2015,72.7749828332796
MDV,2016,73.2207629909679
MDV,2017,73.6693382094626
MDV,2018,74.097043216159
MDV,2019,74.4968025407448
MDV,2020,74.8871033431351
MDV,2021,75.3045363443239
MEX,2011,64.4415301032565
MEX,2012,64.6984476739343
MEX,2013,64.9234762415024
MEX,2014,65.1410033743916
MEX,2015,65.3713988069245
MEX,2016,65.6181532325894
MEX,2017,65.8682302477857
MEX,2018,66.1073972501309
MEX,2019,66.3185850415085
MEX,2020,66.5296254239814
MEX,2021,66.7529844097424
MHL,2011,58.1958291191061
MHL,2012,58.408370446722
MHL,2013,58.7991555020619
MHL,2014,59.2537553217126
MHL,2015,59.7381174373213
MHL,2016,60.1815171141713
MHL,2017,60.566528401642
MHL,2018,60.942917080711
MHL,2019,61.3386658789042
MHL,2020,61.7458700666175
MHL,2021,61.7049822322141
MKD,2011,69.1461987100366
MKD,2012,69.1426503923837
MKD,2013,68.9591860049273
MKD,2014,68.7390615884657
MKD,2015,68.5500811466163
MKD,2016,68.3122503676847
MKD,2017,67.9961161917142
MKD,2018,67.562678785047
MKD,2019,66.9991320803039
MKD,2020,66.4419445244978
MKD,2021,66.0536192522584
MLI,2011,49.8881006999281
MLI,2012,49.6228629626086
MLI,2013,49.4139790596757
MLI,2014,49.3753963072633
MLI,2015,49.3759056489042
MLI,2016,49.4281689617574
MLI,2017,49.5343526921363
MLI,2018,49.6819285971581
MLI,2019,49.8960730509992
MLI,2020,50.1900573945124
MLI,2021,50.5136301213243
MLT,2011,69.2825611092991
MLT,2012,68.7511207530054
MLT,2013,68.1661327685099
MLT,2014,67.7141532091479
MLT,2015,67.4423935430878
MLT,2016,67.1891782660361
MLT,2017,67.1569397470627
MLT,2018,67.4529854558025
MLT,2019,67.8634883252598
MLT,2020,68.1674197448314
MLT,2021,68.00171251
MMR,2011,66.8368460265537
MMR,2012,67.1575927064962
MMR,2013,67.4581949830249
MMR,2014,67.6970652494853
MMR,2015,67.8674858258047
MMR,2016,68.0094410220225
MMR,2017,68.1401536697086
MMR,2018,68.2443282784871
MMR,2019,68.3076557112743
MMR,2020,68.3464361199178
MMR,2021,68.3772458748557
MNE,2011,67.6701373110738
MNE,2012,67.6981721753954
MNE,2013,67.5955164422124
MNE,2014,67.347085846695
MNE,2015,66.9715591145357
MNE,2016,66.6210651687589
MNE,2017,66.2702069863017
MNE,2018,65.856413254411
MNE,2019,65.3815437006931
MNE,2020,64.9212498046666
MNE,2021,64.6004267612596
MNG,2011,68.1901609019881
MNG,2012,68.0762622524602
MNG,2013,67.7570641546867
MNG,2014,67.2583455385159
MNG,2015,66.6300187920446
MNG,2016,65.9081521646192
MNG,2017,65.1412012251141
MNG,2018,64.3450654827184
MNG,2019,63.5207736361981
MNG,2020,62.9278480776094
MNG,2021,62.6443179783416
MNP,2011,70.4347258363879
MNP,2012,70.444640643198
MNP,2013,70.406383865954
MNP,2014,70.326858763667
MNP,2015,70.2330457064653
MNP,2016,70.1544127784452
MNP,2017,70.1382147182161
MNP,2018,70.2029463903662
MNP,2019,70.3764881879948
MNP,2020,70.3122369971385
MNP,2021,69.8461014495839
MOZ,2011,51.4582897004821
MOZ,2012,51.437574807615
MOZ,2013,51.4435359067327
MOZ,2014,51.4890275597917
MOZ,2015,51.5651798295306
MOZ,2016,51.6509731306766
MOZ,2017,51.7484906258943
MOZ,2018,51.8335272345336
MOZ,2019,51.9043292850646
MOZ,2020,52.004506412617
MOZ,2021,52.1299790587805
MRT,2011,52.4182788597103
MRT,2012,52.1745719990473
MRT,2013,52.0748966645454
MRT,2014,52.1390271854315
MRT,2015,52.2134686986765
MRT,2016,52.3037720444574
MRT,2017,52.4143770976081
MRT,2018,52.5508076312595
MRT,2019,52.7171314687531
MRT,2020,52.9241015092831
MRT,2021,53.1643552537665
MUS,2011,72.0105934459953
MUS,2012,72.1949393796008
MUS,2013,72.2340370732856
MUS,2014,72.2508706432524
MUS,2015,72.2583535786293
MUS,2016,72.2217039975507
MUS,2017,72.1965591114589
MUS,2018,72.2057581526241
MUS,2019,72.2329293227705
MUS,2020,72.2441851494245
MUS,2021,72.2163589524575
MWI,2011,50.3256873679682
MWI,2012,50.5189668696999
MWI,2013,50.7835676010532
MWI,2014,51.1134469024467
MWI,2015,51.5010809988559
MWI,2016,51.9561943596496
MWI,2017,52.4613637188836
MWI,2018,52.9962331231173
MWI,2019,53.5661428783472
MWI,2020,54.174280465166
MWI,2021,54.8094108431188
MYS,2011,67.5007412890436
MYS,2012,67.7884774383133
MYS,2013,68.0468847881943
MYS,2014,68.2812916863332
