country,year,gdp_pc_usd,manufacturing_pct_gdp,resource_rents_pct_gdp,tertiary_enrolment_pct,gii_score,population_density,age1564_pct,log_gdp
SGP,2011,279356499090.458,19.5825515079778,53891.4570264372,89.82383473714192,59.64,7363.19318181818,78.7713862675959,26.355754577626435
SGP,2012,295092888076.589,19.1168219800662,55547.5553077786,89.82383473714192,63.5,7524.69830028329,78.8186833661434,26.410556018559447
SGP,2013,307576360584.992,17.6384096148755,56967.4257940383,89.82383473714192,59.41,7636.72135785007,78.7282392629886,26.451989220470576
SGP,2014,314863580758.455,17.9997688921285,57564.8023114977,89.82383473714192,59.24,7714.7023977433,78.546922809139,26.47540530500985
SGP,2015,307998545269.398,18.0893298548734,55645.6068614606,89.82383473714192,59.36,7806.77291960508,78.3192236422757,26.453360896757527
SGP,2016,319053943915.005,17.4744213597612,56899.9181805173,83.9409790039062,59.16,7908.72073342736,78.0308714909358,26.488626028616757
SGP,2017,343257164581.712,18.5683328115467,61162.0973932771,84.7929077148438,58.69,7882.37780898876,77.6111451686482,26.56174575415659
SGP,2018,376892697588.005,20.7284988237868,66840.6373389791,88.8864517211914,59.83,7897.30532212885,77.1869683023096,26.655226362099476
SGP,2019,376901649222.451,19.3638513330846,66081.7199235165,91.0889892578125,58.37,7965.87849162011,76.8118792234851,26.655250112965966
SGP,2020,349488382610.662,19.6271161695532,61466.803676358,93.1347732543945,56.61,7918.95125348189,76.2405295018345,26.579736158041097
SGP,2021,434111559282.849,20.2841459034003,79601.4129622433,97.0989074707031,57.8,7595.49582172702,75.5729505669556,26.796567387054196
SLV,2011,20283780000.0,16.246774516387,3330.60049486653,27.1980304718018,29.14,293.925048262548,61.9201865576859,23.73308738883338
SLV,2012,21386150000.0,16.1734112965634,3497.91256915509,27.9502296447754,29.5,295.076013513513,62.5541893776144,23.78600935319063
SLV,2013,21990960000.0,15.9772924874585,3582.26694005169,28.1076107025146,31.32,296.276013513514,63.1773125178882,23.813897296767543
SLV,2014,22593470000.0,16.0762379572505,3666.01248913873,27.3663196563721,29.08,297.439913127413,63.7658396012952,23.840926763420914
SLV,2015,23438240000.0,16.3874932588795,3790.34089108162,27.2137393951416,29.31,298.439961389961,64.2917607348961,23.877634713511945
SLV,2016,24191430000.0,16.2856846412139,3901.34014965811,27.0054702758789,26.56,299.266409266409,64.7564156847839,23.90926427515802
SLV,2017,24979190000.0,16.0846288450506,4020.12671373919,27.4678001403809,26.68,299.880936293436,65.1496366761361,23.94130891517736
SLV,2018,26020850000.0,15.6878426338878,4183.54620971358,28.0338802337646,25.11,300.183735521236,65.4569293342278,23.982163976676304
SLV,2019,26881140000.0,15.5586779429741,4320.11671534627,28.3688907623291,24.89,300.304922779923,65.6988091655561,24.014690762416336
SLV,2020,24921190000.0,14.7404277243583,3997.19279583709,30.8192100524902,24.85,300.901206563707,65.9569342324021,23.938984282534523
SLV,2021,29043140000.0,15.0693072443269,4642.60743101342,30.1295890808105,25.0,301.919980694981,66.2417157632504,24.092048147779497
SRB,2011,51251098408.0924,16.9507867048185,7082.2861666075,52.1371002197266,36.31,82.740898696547,68.2442167761947,24.660002887088282
SRB,2012,45103269969.4112,17.3944698729184,6263.04086072815,54.0148391723633,40.0,82.3404642122113,68.098876897828,24.532220585691686
SRB,2013,50455529604.0696,19.1832086363947,7040.41812068781,56.6968688964844,37.87,81.9409215641436,67.7436627284965,24.644358183370485
SRB,2014,49114321280.3466,18.2206993895186,6886.67809068704,58.3684997558594,35.89,81.5434141321747,67.2902689526134,24.617416504988583
SRB,2015,41297410634.9586,17.808446227027,5820.3215576888,58.9525413513184,36.47,81.1271781385776,66.7748162145044,24.444065638457786
SRB,2016,42225495909.5633,17.7523192064361,5982.37030126471,62.9142799377441,33.75,80.7034301394923,66.2812936644156,24.466290044025147
SRB,2017,45972834713.8077,17.6965113987748,6548.03653824187,67.5830535888672,35.34,80.275074319689,65.7962638473577,24.55131650929252
SRB,2018,52787520248.9242,16.9084672527415,7559.86165747394,68.3218307495117,35.46,79.8376857992225,65.2458205597449,24.689540640799564
SRB,2019,53864693664.5568,15.6952458067007,7755.632986437,69.0413818359375,35.71,79.4104161902584,64.6822977246048,24.709741066180076
SRB,2020,55874017668.998,14.8459192821502,8098.70955668849,68.5755081176758,34.33,82.0445475086217,64.1681331223259,24.746365308857555
SRB,2021,66159884072.5308,14.4741898752194,9680.52798074468,69.2907028198242,35.0,81.2739445831847,63.8036743847863,24.915340135431332
SVK,2011,99705104723.4341,17.408841685454,18469.4354316836,57.1524887084961,39.05,112.260522375645,71.947544218498,25.325482713440337
SVK,2012,94724394278.052,17.2745943049528,17516.9691054078,57.0384407043457,41.4,112.451734320413,71.7045328186371,25.27423739929964
SVK,2013,99134277850.3418,16.6679619490037,18312.7805149823,55.253978729248,42.25,112.572637664282,71.3702712441166,25.319741110002834
SVK,2014,101713075598.862,18.5341754362134,18770.9289896545,53.8843002319336,41.89,112.700686356073,70.9768771615539,25.3454217020301
SVK,2015,89178548717.3324,18.8287638047366,16442.0760860018,52.7206687927246,42.99,112.803148787488,70.5178405978439,25.213906362379465
SVK,2016,90347173228.6356,17.7674522396181,16636.0769133073,50.3014488220215,41.7,112.953369384359,69.9313041813556,25.226925566595764
SVK,2017,95978130734.9766,17.1198654148987,17645.5298716761,49.1256103515625,43.43,113.128785357737,69.2551309624215,25.28738619761879
SVK,2018,106611673364.837,18.107047254531,19573.3717031314,47.8138313293457,42.88,113.285586522463,68.5861635146178,25.39245884891953
SVK,2019,105843498304.094,18.7020217269875,19406.0589683582,48.1902389526367,42.05,113.43899750416,67.9466053941882,25.38522740896665
SVK,2020,107732602896.441,17.5406369148503,19735.4858280801,48.3790016174316,39.7,113.536335274542,67.3811945998033,25.402918094856847
SVK,2021,120592216208.386,18.1313827228659,22138.1949833348,50.7342491149902,40.2,113.295486688852,66.9089610618438,25.515680576937537
SVN,2011,51199194599.3094,18.196846937948,24940.6284841605,87.1887130737305,45.07,101.898292465005,69.2279739789653,24.65898963838591
SVN,2012,46167053954.3367,18.7169143022718,22442.1417859955,89.0215606689453,49.9,102.114049151928,68.7880511619956,24.55553226277311
SVN,2013,47867056858.8892,19.1692650538617,23236.9655321695,87.8572082519531,47.32,102.281678252234,68.2843640336961,24.591693356507303
SVN,2014,49514466379.6057,19.6425391528278,24013.0682060959,84.3780288696289,47.23,102.382323733863,67.7481374494419,24.62553071391736
SVN,2015,42709468274.8137,19.9837917138592,20697.2748530619,82.1997833251953,48.49,102.446109241111,67.157989987121,24.477686472057425
SVN,2016,44290685824.0682,20.2309490466323,21447.8377796036,79.4747467041016,45.97,102.52417833383,66.5706788630685,24.51404023961302
SVN,2017,48153200134.6613,20.6408219046834,23303.077705959,79.2703475952148,45.8,102.610871929328,65.9854248185375,24.59765343476111
SVN,2018,53689067639.9176,20.4061968964047,25888.0481065655,77.3015975952148,46.87,102.992292564709,65.452513323996,24.706475235611137
SVN,2019,53909922735.545,20.5744094031508,25814.1687167572,76.4720077514648,45.25,103.711934605987,65.0408615176971,24.710580393197034
SVN,2020,53384760135.1581,20.5177897656073,25392.0651093612,75.8166809082031,42.91,104.408881428657,64.7403622350344,24.7007911514535
SVN,2021,61529280461.092,19.9552883180913,29187.369382785,82.2400436401367,44.1,104.689964442502,64.4067832697893,24.842779003515236
SWE,2011,570541353128.724,14.7659207495071,60379.7748160321,71.9184112548828,62.12,23.1973780115221,64.6999145647294,27.06985148938621
SWE,2012,549742183874.355,14.0759917003892,57749.8251328664,68.742301940918,64.8,23.3696200002111,64.2350876804122,27.03271524868013
SWE,2013,584128116410.29,13.3622549733324,60844.2767113975,65.7820892333984,61.36,23.5684835040631,63.7580854153169,27.09338617312981
SWE,2014,577730245154.162,13.0440047804025,59583.7140001673,64.9541931152344,62.29,23.8034986523533,63.3172186453916,27.0823728927931
SWE,2015,501698263620.663,13.7629512175237,51197.9529341175,66.4283218383789,62.4,24.0582617728817,62.9579789502128,26.941264707439327
SWE,2016,514218206628.325,13.4787218481616,51820.3972482676,68.306037902832,63.57,24.362449750883,62.700911392201,26.96591353882994
